,Name,Address,City,State,Workers,Local,District,Contract,lon,lat
1844,"3-3277 Kuhio Hwy, Lihue, HI",3-3277 Kuhio Hwy,Lihue,HI,32,9107,4,Turquoise,-159.3677204,21.9823521
1838,"590 Farrington Hwy, Kapolei, HI",590 Farrington Hwy,Kapolei,HI,12,5345,2,Pink,-158.0803082,21.3373963
1839,"915431 Kapolei Parkway Ste 320, Kapolei, HI",915431 Kapolei Parkway Ste 320,Kapolei,HI,17,3809,3,Green,-158.0521413,21.3343694
1846,"94-050 Farrington Hwy, Waipahu, HI",94-050 Farrington Hwy,Waipahu,HI,47,5355,2,Puce,-158.0254198,21.3779633
1848,"500 Kahelu Ave, Mililani, HI",500 Kahelu Ave,Mililani,HI,99,9164,5,Turquoise,-158.0146815,21.4826389
1842,"95-1249 Meheula Pkwy, Mililani, HI",95-1249 Meheula Pkwy,Mililani,HI,67,6204,4,Aquamarine,-158.0065092,21.4529107
1834,"1160 Kuala Street, Pearl City, HI",1160 Kuala Street,Pearl City,HI,67,3289,5,Crimson,-157.9753247,21.3988735
1831,"1067 Kapiolani Blvd., Honolulu, HI",1067 Kapiolani Blvd.,Honolulu,HI,61,6841,4,Puce,-157.850598,21.2962134
1845,"1450 Ala Moana Blvd Sp 1240, Honolulu, HI",1450 Ala Moana Blvd Sp 1240,Honolulu,HI,49,2889,6,Mauv,-157.8460375,21.2918195
1837,"900 Kapahulu Ave, Honolulu, HI",900 Kapahulu Ave,Honolulu,HI,25,6339,5,Purple,-157.8140848,21.2843964
1950,"46-056 Kamehameha Hwy, Kaneohe, HI",46-056 Kamehameha Hwy,Kaneohe,HI,73,7450,6,Red,-157.8062256,21.418939
1946,"46-056 Kamehameha Hwy Spc C-02, Kaneohe, HI",46-056 Kamehameha Hwy Spc C-02,Kaneohe,HI,84,684,5,Violet,-157.80513,21.4201116
1847,"45-480 Kaneohe Bay Dr, Kaneohe, HI",45-480 Kaneohe Bay Dr,Kaneohe,HI,51,9504,3,Khaki,-157.7981914,21.401581
1829,"377 Keahole Strett, Ste. D7, Honolulu, HI",377 Keahole Strett,Honolulu,HI,4,3621,5,Fuscia,-157.7080655,21.2853002
1830,"275 W Kaahumanu Ave, Kahului, HI",275 W Kaahumanu Ave,Kahului,HI,11,5302,5,Pink,-156.4749542,20.8871323
1835,"74-5457 Makala Blvd Ste 100, Kailua-kona, HI",74-5457 Makala Blvd Ste 100,Kailua-kona,HI,19,4688,8,Puce,-156.0049802,19.6482139
1843,"333 Kilauea Ave, Hilo, HI",333 Kilauea Ave,Hilo,HI,63,5226,3,Yellow,-155.0832631,19.7208237
1655,"320 W 5th Avenue, Anchorage, AK",320 W 5th Avenue,Anchorage,AK,88,7482,7,Puce,-149.8897909,61.2170887
