,Date Filed,City,State,Address,Status,Case Name,Labor Union,Tally Date,Ballot Type,Votes For Union,Votes Against,Num Eligible Voters,Case,lon,lat
191,11-Feb-22,Mililani,HI,"95-221 Kipapa Dr., Mililani, HI",Open,Starbucks Corporation,"Workers United, a/w SEIU",2-May-22,Initial,7,8,17,20-RC-290481,-158.0166377,21.4593592
110,28-Feb-22,Eugene,OR,"3110 W. 11th Avenue, Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,5-May-22,Initial,7,2,25,19-RC-291410,-123.1386488,44.047712
9,1-Mar-22,Eugene,OR,"1115 Valley River Drive, Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,5-May-22,Initial,10,3,27,19-RC-291441,-123.104687,44.0705919
150,31-Jan-22,Eugene,OR,"495 West 7th Avenue, Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,28-Apr-22,Initial,12,1,19,19-RC-289815,-123.0999582,44.0524891
104,4-Feb-22,Eugene,OR,"3003 North Delta Highway, Suite 301, Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,28-Apr-22,Initial,10,1,25,19-RC-290060,-123.0966538,44.0948376
97,7-Jan-22,Eugene,OR,"2830 Willamette St., Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,13-Apr-22,Initial,17,0,28,19-RC-288594,-123.0910249,44.0279929
43,4-Feb-22,Eugene,OR,"1395 University Street, Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,28-Apr-22,Initial,19,0,28,19-RC-290145,-123.0736897,44.0448925
69,31-Jan-22,Eugene,OR,"1895 Franklin Boulevard, Eugene, Oregon",Unionized,Starbucks Corporation,Workers United,28-Apr-22,Initial,17,0,27,19-RC-289816,-123.0646,44.04588
169,31-Jan-22,Eugene,OR,"65 Oakwood Center, Eugene, Oregon",Voted Failed,Starbucks Corporation,Workers United,28-Apr-22,Initial,4,7,17,19-RC-289817,-123.0327194,44.0092963
112,25-Feb-22,Olympia,WA,"315 Cooper Point Road NW, Unit 101, Olympia, Washington",Unionized,Starbucks Corporation,"Mid Atlantic Regional Joint Board, Workers United",29-Apr-22,Initial,19,2,30,19-RC-291290,-122.9424267,47.0479928
155,28-Mar-22,Tumwater,WA,"5300 Capitol Blvd SE, Tumwater, Washington",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,12,3,35,19-RC-293041,-122.9081563,46.9994187
