store_number,store_name,address,city,state,zip_code,phone_number,website_address,lat,lon
R00000165717,Verizon Wireless At Hadley,360 Russell St,Hadley,MA,1035,(413) 582-0299,https://www.verizon.com/stores/stores/massachusetts/hadley/hadley-330611/,42.35867993,-72.55014729
R00000127859,Verizon Wireless At West Springfield,1123 Riverdale St,West Springfield,MA,1089,(413) 781-6000,https://www.verizon.com/stores/stores/massachusetts/west-springfield/west-springfield-202546/,42.13470777,-72.62491772
R00000000636,Verizon Wireless At East Springfield,1420 Boston Rd,Springfield,MA,1119,(413) 796-8600,https://www.verizon.com/stores/stores/massachusetts/springfield/east-springfield-202548/,42.14166693,-72.49626607
R00000002557,Verizon Wireless At Pittsfield,555 Hubbard Ave,Pittsfield,MA,1201,(413) 445-3000,https://www.verizon.com/stores/stores/massachusetts/pittsfield/pittsfield-246001/,42.46856579,-73.19686037
R00000000372,Verizon Wireless At Leominster Ma,12 Orchard Hill Park Dr,Leominster,MA,1453,(978) 466-7439,https://www.verizon.com/stores/stores/massachusetts/leominster/leominster-ma-286397/,42.52462693,-71.71344722
R00000169755,Verizon Wireless At Millbury,70 Worcester Providence Tpke,Millbury,MA,1527,(508) 581-7000,https://www.verizon.com/stores/stores/massachusetts/millbury/millbury-245867/,42.19821455,-71.77625204
R00000111327,Verizon Wireless At Shrewsbury,77 Boston Turnpike,Shrewsbury,MA,1545,(508) 767-0900,https://www.verizon.com/stores/stores/massachusetts/shrewsbury/shrewsbury-203234/,42.27530917,-71.75126652
R00000000373,Verizon Wireless At Sturbridge Ma,120 Charlton Rd,Sturbridge,MA,1566,(508) 347-3483,https://www.verizon.com/stores/stores/massachusetts/sturbridge/sturbridge-ma-284596/,42.12341769,-72.05812337
R00000233377,Verizon Wireless At Framingham,86 Worcester Rd,Framingham,MA,1701,(508) 370-4002,https://www.verizon.com/stores/stores/massachusetts/framingham/framingham-341080/,42.29836124,-71.39730519
R00000046284,Verizon Wireless At Burlington Ma,75 Middlesex Tpke,Burlington,MA,1803,(781) 221-0400,https://www.verizon.com/stores/stores/massachusetts/burlington/burlington-ma-203232/,42.481349,-71.214304
R00000002221,Verizon Wireless At Reading Ma,42 Walkers Brook Dr,Reading,MA,1867,(781) 942-5080,https://www.verizon.com/stores/stores/massachusetts/reading/reading-ma-283600/,42.51974333,-71.09242989
R00000327763,Verizon Wireless At Saugus,723 Broadway,Saugus,MA,1906,(781) 941-6100,https://www.verizon.com/stores/stores/massachusetts/saugus/saugus-r00000327763/,42.477635,-71.023732
R00000005485,Verizon Wireless At Peabody,262 Andover St,Peabody,MA,1960,(978) 573-6300,https://www.verizon.com/stores/stores/massachusetts/peabody/peabody-202576/,42.54832263,-70.95225161
R00000001471,Verizon Wireless At Bellingham,257c Hartford Ave,Bellingham,MA,2019,(508) 966-3671,https://www.verizon.com/stores/stores/massachusetts/bellingham/bellingham-304717/,42.11092504,-71.46114303
R00000003108,Verizon Wireless At Dedham Ma,826 Providence Hwy,Dedham,MA,2026,(781) 326-1115,https://www.verizon.com/stores/stores/massachusetts/dedham/dedham-ma-315999/,42.23660931,-71.17781248
R00000107693,Verizon Wireless At Mansfield,280 School St,Mansfield,MA,2048,(508) 261-4094,https://www.verizon.com/stores/stores/massachusetts/mansfield/mansfield-324046/,42.01314338,-71.23054102
R00000151609,Verizon Wireless At Boston - Washington St,340 Washington St,Boston,MA,2108,(617) 946-0500,https://www.verizon.com/stores/stores/massachusetts/boston/boston-washington-st-327791/,42.35665207,-71.05878707
R00000260674,Verizon Wireless At The Hub - Boston Retail,98 Causeway St,Boston,MA,2114,(857) 415-3041,https://www.verizon.com/stores/stores/massachusetts/boston/the-hub-boston-retail-1020623/,42.3656846,-71.0612099
R00000002948,Verizon Wireless At Destination Boston,745 Boylston St,Boston,MA,2116,(617) 266-9000,https://www.verizon.com/stores/stores/massachusetts/boston/destination-boston-202580/,42.34938443,-71.08059883
